Дата,Время,НЖТИ,Название,Число1,Число2
06.03.25,13:29,89730,КАЙФОГИК,7132,6500
03.03.25,16:52,19674,РУНИЧЕСКИЙ,0709,2918
03.03.25,15:29,64888,ЙОТОЛАСТ,2110,7469
27.02.25,14:55,71691,ЗАГРЕБ,2286,0100
27.02.25,13:36,20738,ПРИБЛИЖЕНИЕ,8434,2480
24.02.25,12:42,10206,АДЪЮТАНТ,9381,3130
23.02.25,15:29,91338,НЭПОВОЙ,4772,3520
22.02.25,14:50,99819,ОГРАЖДЕНИЕ,8714,9689
22.02.25,13:08,42771,ТАКТОСИГ,1673,1477
17.02.25,17:32,23852,ДРОБИЛКА,4408,7287
17.02.25,10:56,26082,ДУПЛИСТЫЙ,6660,6133
13.02.25,14:44,00407,ГОЛОСИЩЕ,9371,6700
13.02.25,12:39,11316,ТАКТОБОА,9517,0302
,,62987,СИНОПСИС,8323,7892
10.02.25,18:35,31143,ДИЕЗОНАРД,1417,1992
10.02.25,13:30,65313,МАКОВКА,4400,9901
10.02.25,12:43,50111,ПИРАТСКИЙ,0101,8197
10.02.25,12:35,50027,СТАТИЧНОСТЬ,3132,5387
09.02.25,15:47,24879,СКОПОЧЕС,6204,7160
08.02.25,14:07,85633,КВИТОКОВШ,8326,9314
08.02.25,13:26,60021,ПОКАТЫЙ,6479,2375
06.02.25,14:39,24586,АНУСОЗУЛУ,1669,4735
06.02.25,13:05,73184,КРАХОСУП,6191,3430
06.02.25,11:36,71147,ОМЕРТВЛЕНИЕ,1760,8868
03.02.25,10:52,71377,ГАБАРИТ,2434,5573
30.01.25,18:46,30787,НИТРОМОПС,7272,3084
29.01.25,15:54,14317,УГАРОКИЕВ,9399,3945
22.01.25,19:05,30795,ЛИМБОДУХ,3641,5048
22.01.25,15:53,44002,РОКОШТОФ,6856,1920
20.01.25,12:33,34755,БРАСОБОСС,8448,5597
16.01.25,12:30,78734,ГНУСЛИВОСТЬ,1586,9891
,,37235,СУРОЧИЙ,0789,8257
13.01.25,14:34,74284,СОЛЬФАТАРА,5709,1622
13.01.25,12:31,92836,ШЕЛЬМА,3137,4571
10.01.25,15:54,55010,ДУГА,0493,5160
09.01.25,13:22,96492,АИСТОСАН,0203,9028
09.01.25,11:02,55472,АПРЕЛЬСКИЙ,9715,0308
07.01.25,18:52,29679,ВООБРАЖАЛА,9148,0718
04.01.25,19:26,62973,БУЕКОНИЗ,5567,5407
01.01.25,19:28,68608,ТАНЦОР,0303,6994
30.12.24,15:55,39360,БАНТОНАСТ,7577,6956
30.12.24,10:13,26067,ГРОГОЧЕРТ,3331,0825
27.12.24,20:55,22370,ИНОХОДЬ,0671,2958
20.12.24,15:22,03324,ГИКОКОФР,5756,8697
18.12.24,17:46,26261,ЗАРЯЖЕНИЕ,9957,5314
16.12.24,16:03,77741,ВЕЛЬВЕТ,2363,5984
15.12.24,17:34,58740,ЦЕНЗОКЕБ,6186,5298
12.12.24,18:54,52209,УЛЕТОБОМЖ,6809,7750
,,66604,САПОФИЛАТ,3406,1449
,,54095,АЗБУКА,5075,8976
09.12.24,14:45,46654,КАТАМАРАН,6789,5340
09.12.24,12:31,56204,СЛОТОЛУБ,5564,7778
09.12.24,10:49,53648,ТОЛОКА,6745,7133
06.12.24,20:16,54247,ГЛАСОБУЯН,5912,3547
05.12.24,10:43,37988,ДУБИНА,6465,1077
02.12.24,20:04,54174,ВЫПОЛЗОК,0508,4156
02.12.24,15:37,00897,БЫКОТУФ,2603,6522
